Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/perf/intensive,510,0,2100,1665.8893082357085,5.645600031130016,5563.155099982396,488.0,26.808152950824265,0.0,2100,2200,2700,2900,3300,4000,5100,5500,5600,5600,5600
GET,/api/perf/slow,31,0,10012.184599996544,10964.082574201448,10012.184599996544,12161.237300024368,81.0,1.6295151793638278,0.0,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/health,266,0,940,1084.9919567708298,3.029600018635392,4127.506799995899,43.0,13.98229153905736,0.0,990,1800,2100,2100,2400,2700,2900,4100,4100,4100,4100
,Aggregated,807,0,2000,1831.5959944256467,3.029600018635392,12161.237300024368,325.68649318463446,42.41995966924545,0.0,2000,2100,2600,2800,3500,5200,10000,12000,12000,12000,12000
