Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/perf/intensive,245,0,7,12.666058370710484,5.755300051532686,152.46630006004125,488.0,12.85591346171409,0.0,7,8,9,11,18,40,95,97,150,150,150
GET,/api/perf/slow,9,0,10018.24070001021,10034.26703335976,10018.24070001021,10111.560799996369,81.0,0.47225804553235434,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/health,125,0,4,8.346289593726397,2.8264999855309725,145.77140007168055,43.0,6.5591395212827,0.0,4,5,5,6,11,31,52,89,150,150,150
,Aggregated,379,0,7,249.22130290310741,2.8264999855309725,10111.560799996369,331.5672823218997,19.887311028529144,0.0,7,8,9,10,19,55,10000,10000,10000,10000,10000
