Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/perf/intensive,203,0,7,369.3599561607841,5.640199990011752,2484.151200042106,488.0,10.66316152118308,0.0,7,8,10,38,2100,2100,2200,2300,2500,2500,2500
GET,/api/perf/slow,7,0,10012.750299996696,10603.163414285518,10012.750299996696,12077.92289997451,81.0,0.367695224868382,0.0,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/health,94,0,4,291.75216383474105,2.7149999514222145,2523.84829998482,43.0,4.937621591089702,0.0,4,4,5,6,2000,2000,2100,2500,2500,2500,2500
,Aggregated,304,0,7,581.0096000036298,2.7149999514222145,12077.92289997451,341.0296052631579,15.968478337141162,0.0,7,8,9,38,2100,2100,10000,10000,12000,12000,12000
