Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/perf/intensive,336,0,9,471.94000029966924,5.804500076919794,2360.942699946463,488.0,17.600538164881133,0.0,9,270,650,1000,2100,2100,2100,2200,2400,2400,2400
GET,/api/perf/slow,19,0,12000,11106.661436828099,10012.344100046903,12112.678799894638,81.0,0.9952685271807784,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/health,184,0,5,441.73052935208113,2.8065999504178762,2335.2540000341833,43.0,9.638389947434908,0.0,5,89,400,680,2100,2100,2100,2300,2300,2300,2300
,Aggregated,539,0,9,836.5061684623481,2.8065999504178762,12112.678799894638,321.7421150278293,28.23419663949682,0.0,9,290,720,1400,2100,2100,10000,12000,12000,12000,12000
