Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/perf/intensive,58,0,7,299.91333793993266,5.7385999243706465,2463.771599926986,488.0,3.032803786398983,0.0,7,7,8,9,2000,2100,2200,2500,2500,2500,2500
GET,/health,29,0,4,147.86896896387995,2.7507999911904335,2053.633000003174,43.0,1.5164018931994916,0.0,4,4,4,4,41,2000,2100,2100,2100,2100,2100
,Aggregated,87,0,7,249.23188161458177,2.7507999911904335,2463.771599926986,339.6666666666667,4.549205679598475,0.0,7,7,8,9,2000,2100,2200,2500,2500,2500,2500
